complaint_id,customer_id,timestamp,channel,complaint_text,related_to_fraud_case
CMP00224,CUST10190,2026-06-09 07:00:00,call_center,"Customer claims they did not perform the SIM swap registered on their account in Malang, requesting immediate investigation and account freeze.",1
CMP00150,CUST10250,2026-06-09 11:00:00,app_ticket,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00045,CUST10575,2026-06-09 18:00:00,app_ticket,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00040,CUST10479,2026-06-11 10:00:00,live_chat,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00109,CUST10620,2026-06-11 13:00:00,call_center,Customer reported slow internet connection in Surabaya area during evening hours. Ticket escalated to network team.,0
CMP00230,CUST10664,2026-06-11 21:00:00,app_ticket,Multiple failed login attempts detected on customer account followed by a password reset request from an unrecognized device.,1
CMP00096,CUST10236,2026-06-11 21:00:00,live_chat,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00114,CUST10564,2026-06-12 14:00:00,call_center,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00117,CUST11073,2026-06-12 17:00:00,email,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00051,CUST10464,2026-06-12 21:00:00,app_ticket,Customer reported slow internet connection in Balikpapan area during evening hours. Ticket escalated to network team.,0
CMP00182,CUST10316,2026-06-14 07:00:00,live_chat,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00072,CUST10023,2026-06-14 08:00:00,call_center,Customer reported slow internet connection in Semarang area during evening hours. Ticket escalated to network team.,0
CMP00020,CUST10166,2026-06-15 11:00:00,email,Customer reported slow internet connection in Malang area during evening hours. Ticket escalated to network team.,0
CMP00044,CUST10292,2026-06-15 13:00:00,call_center,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00126,CUST10395,2026-06-16 07:00:00,call_center,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00127,CUST10548,2026-06-16 09:00:00,live_chat,Customer reported slow internet connection in Medan area during evening hours. Ticket escalated to network team.,0
CMP00069,CUST10028,2026-06-16 13:00:00,live_chat,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00035,CUST10554,2026-06-16 14:00:00,call_center,Customer asked for clarification about roaming charges after traveling to Malang. Provided rate card information.,0
CMP00102,CUST10035,2026-06-16 17:00:00,email,Customer reported slow internet connection in Semarang area during evening hours. Ticket escalated to network team.,0
CMP00073,CUST11086,2026-06-17 11:00:00,email,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00067,CUST11122,2026-06-17 12:00:00,live_chat,Customer asked for clarification about roaming charges after traveling to Jakarta. Provided rate card information.,0
CMP00188,CUST10254,2026-06-17 14:00:00,app_ticket,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00196,CUST10286,2026-06-17 14:00:00,live_chat,Customer asked for clarification about roaming charges after traveling to Jakarta. Provided rate card information.,0
CMP00081,CUST10436,2026-06-17 20:00:00,app_ticket,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00153,CUST10427,2026-06-17 20:00:00,live_chat,Customer asked for clarification about roaming charges after traveling to Surabaya. Provided rate card information.,0
CMP00085,CUST11164,2026-06-18 07:00:00,email,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00052,CUST11186,2026-06-18 07:00:00,live_chat,Customer reported slow internet connection in Pekanbaru area during evening hours. Ticket escalated to network team.,0
CMP00094,CUST10824,2026-06-18 08:00:00,app_ticket,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00271,CUST11197,2026-06-18 11:00:00,call_center,"Customer claims they did not perform the SIM swap registered on their account in Malang, requesting immediate investigation and account freeze.",1
CMP00012,CUST10034,2026-06-18 21:00:00,call_center,Customer asked for clarification about roaming charges after traveling to Medan. Provided rate card information.,0
CMP00184,CUST10334,2026-06-19 09:00:00,live_chat,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00005,CUST10596,2026-06-19 12:00:00,call_center,Customer asked for clarification about roaming charges after traveling to Yogyakarta. Provided rate card information.,0
CMP00219,CUST10086,2026-06-19 19:00:00,live_chat,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00017,CUST10688,2026-06-19 19:00:00,call_center,Customer reported slow internet connection in Yogyakarta area during evening hours. Ticket escalated to network team.,0
CMP00043,CUST10687,2026-06-20 11:00:00,app_ticket,Customer asked for clarification about roaming charges after traveling to Palembang. Provided rate card information.,0
CMP00269,CUST10910,2026-06-20 12:00:00,live_chat,"Customer claims they did not perform the SIM swap registered on their account in Medan, requesting immediate investigation and account freeze.",1
CMP00210,CUST10890,2026-06-20 13:00:00,email,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00003,CUST10011,2026-06-21 07:00:00,call_center,Customer reported slow internet connection in Makassar area during evening hours. Ticket escalated to network team.,0
CMP00214,CUST10968,2026-06-21 08:00:00,app_ticket,Customer asked for clarification about roaming charges after traveling to Palembang. Provided rate card information.,0
CMP00280,CUST10770,2026-06-21 16:00:00,email,Multiple failed login attempts detected on customer account followed by a password reset request from an unrecognized device.,1
CMP00226,CUST10283,2026-06-21 16:00:00,email,Multiple failed login attempts detected on customer account followed by a password reset request from an unrecognized device.,1
CMP00061,CUST10795,2026-06-22 10:00:00,email,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00225,CUST11083,2026-06-23 00:00:00,call_center,"Customer claims they did not perform the SIM swap registered on their account in Pekanbaru, requesting immediate investigation and account freeze.",1
CMP00238,CUST10228,2026-06-23 03:00:00,app_ticket,Account flagged: same payment instrument used across several different customer accounts within a short time window.,1
CMP00053,CUST10905,2026-06-23 18:00:00,live_chat,Customer asked for clarification about roaming charges after traveling to Yogyakarta. Provided rate card information.,0
CMP00221,CUST10636,2026-06-24 13:00:00,call_center,"Customer disputes a large topup transaction of Rp 166,000 they claim they never made, requesting refund and fraud investigation.",1
CMP00270,CUST10068,2026-06-24 15:00:00,call_center,"Customer claims they did not perform the SIM swap registered on their account in Bandung, requesting immediate investigation and account freeze.",1
CMP00170,CUST10449,2026-06-24 17:00:00,call_center,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00149,CUST10742,2026-06-24 19:00:00,live_chat,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00074,CUST11147,2026-06-25 07:00:00,email,Customer reported slow internet connection in Malang area during evening hours. Ticket escalated to network team.,0
CMP00140,CUST10445,2026-06-25 09:00:00,email,Customer asked for clarification about roaming charges after traveling to Jakarta. Provided rate card information.,0
CMP00206,CUST10604,2026-06-25 09:00:00,app_ticket,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00166,CUST11184,2026-06-25 11:00:00,email,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00201,CUST10045,2026-06-25 12:00:00,app_ticket,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00167,CUST10482,2026-06-25 21:00:00,email,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00151,CUST10431,2026-06-26 09:00:00,email,"Customer complained about SMS notification not arriving after topup. Verified balance is correct, notification delay only.",0
CMP00031,CUST10753,2026-06-26 20:00:00,email,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00098,CUST10865,2026-06-26 21:00:00,email,Customer called asking why their monthly bill increased compared to last month. Explained new tariff plan.,0
CMP00257,CUST10978,2026-06-27 14:00:00,call_center,Account flagged: same payment instrument used across several different customer accounts within a short time window.,1
CMP00277,CUST10273,2026-06-27 18:00:00,call_center,"Customer claims they did not perform the SIM swap registered on their account in Palembang, requesting immediate investigation and account freeze.",1
CMP00255,CUST10342,2026-06-28 02:00:00,call_center,"Customer claims they did not perform the SIM swap registered on their account in Surabaya, requesting immediate investigation and account freeze.",1
CMP00177,CUST10444,2026-06-28 12:00:00,call_center,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00104,CUST10863,2026-06-28 19:00:00,app_ticket,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00275,CUST10907,2026-06-29 02:00:00,live_chat,"Customer disputes a large topup transaction of Rp 238,000 they claim they never made, requesting refund and fraud investigation.",1
CMP00147,CUST10816,2026-06-29 21:00:00,email,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00186,CUST10071,2026-06-30 12:00:00,app_ticket,Customer requested to change their bundling package from Basic to Family Plan. Request processed successfully.,0
CMP00154,CUST10954,2026-06-30 15:00:00,call_center,Customer asked for clarification about roaming charges after traveling to Yogyakarta. Provided rate card information.,0
CMP00249,CUST10411,2026-06-30 19:00:00,app_ticket,Account flagged: same payment instrument used across several different customer accounts within a short time window.,1
